sentence,label
reported a quarterly revenue increase of 16.2% compared to last year.,financial
announced an operating margin of 12.8% for the fiscal year.,financial
achieved a 39.1% market share in the global edge‑computing segment.,market
released version 29 of its open‑source machine learning framework.,innovation
filed 13 new patents focusing on quantum computing architectures.,innovation
reported a quarterly revenue increase of 36.1% compared to last year.,financial
secured a multi‑year contract with the European Space Agency.,market
reaffirmed its full‑year guidance despite currency headwinds.,financial
updated its cloud platform with serverless GPU instances.,product
filed 34 new patents focusing on quantum computing architectures.,innovation
partnered with leading automakers to integrate its autonomous driving stack.,product
surpassed analyst expectations by 34.0% in adjusted earnings per share.,financial
published its first diversity and inclusion report highlighting a 30.0% increase in leadership roles held by women.,csr
opened 33 new data centers across North America and Europe.,market
allocated 36.7% of its R&D budget to green technologies.,csr
surpassed analyst expectations by 36.5% in adjusted earnings per share.,financial
opened a new research hub dedicated to neuromorphic engineering.,innovation
expanded its community outreach program to include 26 underserved regions.,csr
launched a breakthrough AI accelerator chip called 'Nebula‑9'.,innovation
allocated 34.9% of its R&D budget to green technologies.,csr
opened a new research hub dedicated to neuromorphic engineering.,innovation
reported a quarterly revenue increase of 43.0% compared to last year.,financial
secured a multi‑year contract with the European Space Agency.,market
published its first diversity and inclusion report highlighting a 20.6% increase in leadership roles held by women.,csr
reported a quarterly revenue increase of 21.4% compared to last year.,financial
opened a new research hub dedicated to neuromorphic engineering.,innovation
announced an operating margin of 11.7% for the fiscal year.,financial
partnered with leading automakers to integrate its autonomous driving stack.,product
launched a breakthrough AI accelerator chip called 'Nebula‑39'.,innovation
allocated 6.3% of its R&D budget to green technologies.,csr
reported a quarterly revenue increase of 42.0% compared to last year.,financial
opened a new research hub dedicated to neuromorphic engineering.,innovation
introduced its flagship smartphone 'Aurora' featuring a 9‑core neural engine.,product
opened a new research hub dedicated to neuromorphic engineering.,innovation
allocated 28.4% of its R&D budget to green technologies.,csr
achieved a 40.2% market share in the global edge‑computing segment.,market
launched a breakthrough AI accelerator chip called 'Nebula‑5'.,innovation
launched a breakthrough AI accelerator chip called 'Nebula‑44'.,innovation
released version 28 of its open‑source machine learning framework.,innovation
announced an operating margin of 28.7% for the fiscal year.,financial
rolled out a subscription service providing real‑time cybersecurity insights.,product
released version 33 of its open‑source machine learning framework.,innovation
announced an operating margin of 35.8% for the fiscal year.,financial
secured a multi‑year contract with the European Space Agency.,market
announced an operating margin of 11.7% for the fiscal year.,financial
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
reaffirmed its full‑year guidance despite currency headwinds.,financial
rolled out a subscription service providing real‑time cybersecurity insights.,product
committed to reaching net‑zero carbon emissions by 2028.,csr
opened 38 new data centers across North America and Europe.,market
partnered with leading automakers to integrate its autonomous driving stack.,product
opened 16 new data centers across North America and Europe.,market
opened 38 new data centers across North America and Europe.,market
launched a breakthrough AI accelerator chip called 'Nebula‑46'.,innovation
allocated 38.0% of its R&D budget to green technologies.,csr
released version 41 of its open‑source machine learning framework.,innovation
expanded its community outreach program to include 47 underserved regions.,csr
updated its cloud platform with serverless GPU instances.,product
announced an operating margin of 8.7% for the fiscal year.,financial
updated its cloud platform with serverless GPU instances.,product
surpassed analyst expectations by 43.4% in adjusted earnings per share.,financial
expanded its community outreach program to include 3 underserved regions.,csr
filed 35 new patents focusing on quantum computing architectures.,innovation
released version 29 of its open‑source machine learning framework.,innovation
opened a new research hub dedicated to neuromorphic engineering.,innovation
updated its cloud platform with serverless GPU instances.,product
allocated 5.0% of its R&D budget to green technologies.,csr
secured a multi‑year contract with the European Space Agency.,market
introduced its flagship smartphone 'Aurora' featuring a 32‑core neural engine.,product
secured a multi‑year contract with the European Space Agency.,market
committed to reaching net‑zero carbon emissions by 2025.,csr
launched a breakthrough AI accelerator chip called 'Nebula‑25'.,innovation
released version 32 of its open‑source machine learning framework.,innovation
allocated 16.7% of its R&D budget to green technologies.,csr
launched a breakthrough AI accelerator chip called 'Nebula‑1'.,innovation
partnered with leading automakers to integrate its autonomous driving stack.,product
reported a quarterly revenue increase of 39.9% compared to last year.,financial
allocated 49.9% of its R&D budget to green technologies.,csr
filed 38 new patents focusing on quantum computing architectures.,innovation
reported a quarterly revenue increase of 17.8% compared to last year.,financial
published its first diversity and inclusion report highlighting a 21.7% increase in leadership roles held by women.,csr
partnered with leading automakers to integrate its autonomous driving stack.,product
updated its cloud platform with serverless GPU instances.,product
launched a breakthrough AI accelerator chip called 'Nebula‑26'.,innovation
rolled out a subscription service providing real‑time cybersecurity insights.,product
reaffirmed its full‑year guidance despite currency headwinds.,financial
secured a multi‑year contract with the European Space Agency.,market
reported a quarterly revenue increase of 46.0% compared to last year.,financial
reaffirmed its full‑year guidance despite currency headwinds.,financial
rolled out a subscription service providing real‑time cybersecurity insights.,product
secured a multi‑year contract with the European Space Agency.,market
opened 18 new data centers across North America and Europe.,market
rolled out a subscription service providing real‑time cybersecurity insights.,product
published its first diversity and inclusion report highlighting a 23.2% increase in leadership roles held by women.,csr
rolled out a subscription service providing real‑time cybersecurity insights.,product
expanded its community outreach program to include 45 underserved regions.,csr
expanded its community outreach program to include 49 underserved regions.,csr
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
introduced its flagship smartphone 'Aurora' featuring a 7‑core neural engine.,product
reaffirmed its full‑year guidance despite currency headwinds.,financial
launched a breakthrough AI accelerator chip called 'Nebula‑28'.,innovation
filed 38 new patents focusing on quantum computing architectures.,innovation
filed 43 new patents focusing on quantum computing architectures.,innovation
filed 8 new patents focusing on quantum computing architectures.,innovation
published its first diversity and inclusion report highlighting a 46.6% increase in leadership roles held by women.,csr
surpassed analyst expectations by 46.5% in adjusted earnings per share.,financial
allocated 35.7% of its R&D budget to green technologies.,csr
reaffirmed its full‑year guidance despite currency headwinds.,financial
published its first diversity and inclusion report highlighting a 23.8% increase in leadership roles held by women.,csr
introduced its flagship smartphone 'Aurora' featuring a 30‑core neural engine.,product
published its first diversity and inclusion report highlighting a 32.9% increase in leadership roles held by women.,csr
allocated 28.0% of its R&D budget to green technologies.,csr
secured a multi‑year contract with the European Space Agency.,market
updated its cloud platform with serverless GPU instances.,product
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
rolled out a subscription service providing real‑time cybersecurity insights.,product
reaffirmed its full‑year guidance despite currency headwinds.,financial
reaffirmed its full‑year guidance despite currency headwinds.,financial
announced an operating margin of 48.4% for the fiscal year.,financial
opened 8 new data centers across North America and Europe.,market
published its first diversity and inclusion report highlighting a 17.7% increase in leadership roles held by women.,csr
reported a quarterly revenue increase of 36.9% compared to last year.,financial
secured a multi‑year contract with the European Space Agency.,market
published its first diversity and inclusion report highlighting a 20.3% increase in leadership roles held by women.,csr
opened a new research hub dedicated to neuromorphic engineering.,innovation
reported a quarterly revenue increase of 17.0% compared to last year.,financial
announced an operating margin of 42.4% for the fiscal year.,financial
released version 35 of its open‑source machine learning framework.,innovation
filed 10 new patents focusing on quantum computing architectures.,innovation
introduced its flagship smartphone 'Aurora' featuring a 1‑core neural engine.,product
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
achieved a 37.7% market share in the global edge‑computing segment.,market
committed to reaching net‑zero carbon emissions by 2035.,csr
secured a multi‑year contract with the European Space Agency.,market
released version 34 of its open‑source machine learning framework.,innovation
released version 28 of its open‑source machine learning framework.,innovation
surpassed analyst expectations by 13.6% in adjusted earnings per share.,financial
partnered with leading automakers to integrate its autonomous driving stack.,product
introduced its flagship smartphone 'Aurora' featuring a 8‑core neural engine.,product
launched a breakthrough AI accelerator chip called 'Nebula‑2'.,innovation
surpassed analyst expectations by 29.3% in adjusted earnings per share.,financial
introduced its flagship smartphone 'Aurora' featuring a 29‑core neural engine.,product
launched a breakthrough AI accelerator chip called 'Nebula‑5'.,innovation
launched a breakthrough AI accelerator chip called 'Nebula‑45'.,innovation
reaffirmed its full‑year guidance despite currency headwinds.,financial
achieved a 48.3% market share in the global edge‑computing segment.,market
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
introduced its flagship smartphone 'Aurora' featuring a 49‑core neural engine.,product
partnered with leading automakers to integrate its autonomous driving stack.,product
updated its cloud platform with serverless GPU instances.,product
filed 27 new patents focusing on quantum computing architectures.,innovation
allocated 26.1% of its R&D budget to green technologies.,csr
allocated 6.9% of its R&D budget to green technologies.,csr
allocated 35.7% of its R&D budget to green technologies.,csr
announced an operating margin of 11.5% for the fiscal year.,financial
opened a new research hub dedicated to neuromorphic engineering.,innovation
reported a quarterly revenue increase of 35.9% compared to last year.,financial
achieved a 48.7% market share in the global edge‑computing segment.,market
expanded its community outreach program to include 25 underserved regions.,csr
committed to reaching net‑zero carbon emissions by 2030.,csr
committed to reaching net‑zero carbon emissions by 2031.,csr
opened a new research hub dedicated to neuromorphic engineering.,innovation
updated its cloud platform with serverless GPU instances.,product
partnered with leading automakers to integrate its autonomous driving stack.,product
surpassed analyst expectations by 20.2% in adjusted earnings per share.,financial
achieved a 20.7% market share in the global edge‑computing segment.,market
secured a multi‑year contract with the European Space Agency.,market
reaffirmed its full‑year guidance despite currency headwinds.,financial
partnered with leading automakers to integrate its autonomous driving stack.,product
announced an operating margin of 20.0% for the fiscal year.,financial
reaffirmed its full‑year guidance despite currency headwinds.,financial
introduced its flagship smartphone 'Aurora' featuring a 23‑core neural engine.,product
partnered with leading automakers to integrate its autonomous driving stack.,product
committed to reaching net‑zero carbon emissions by 2025.,csr
allocated 13.3% of its R&D budget to green technologies.,csr
filed 21 new patents focusing on quantum computing architectures.,innovation
secured a multi‑year contract with the European Space Agency.,market
partnered with leading automakers to integrate its autonomous driving stack.,product
reaffirmed its full‑year guidance despite currency headwinds.,financial
committed to reaching net‑zero carbon emissions by 2030.,csr
opened 1 new data centers across North America and Europe.,market
partnered with leading automakers to integrate its autonomous driving stack.,product
partnered with leading automakers to integrate its autonomous driving stack.,product
reported a quarterly revenue increase of 6.2% compared to last year.,financial
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
expanded its community outreach program to include 40 underserved regions.,csr
partnered with leading automakers to integrate its autonomous driving stack.,product
updated its cloud platform with serverless GPU instances.,product
allocated 29.7% of its R&D budget to green technologies.,csr
reaffirmed its full‑year guidance despite currency headwinds.,financial
allocated 16.4% of its R&D budget to green technologies.,csr
rolled out a subscription service providing real‑time cybersecurity insights.,product
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
reaffirmed its full‑year guidance despite currency headwinds.,financial
opened 39 new data centers across North America and Europe.,market
allocated 38.5% of its R&D budget to green technologies.,csr
introduced its flagship smartphone 'Aurora' featuring a 37‑core neural engine.,product
announced an operating margin of 44.4% for the fiscal year.,financial
rolled out a subscription service providing real‑time cybersecurity insights.,product
published its first diversity and inclusion report highlighting a 19.2% increase in leadership roles held by women.,csr
rolled out a subscription service providing real‑time cybersecurity insights.,product
opened a new research hub dedicated to neuromorphic engineering.,innovation
allocated 38.5% of its R&D budget to green technologies.,csr
surpassed analyst expectations by 39.0% in adjusted earnings per share.,financial
expanded its community outreach program to include 47 underserved regions.,csr
released version 39 of its open‑source machine learning framework.,innovation
entered the Southeast Asian market through a joint venture with Horizon Holdings.,market
reported a quarterly revenue increase of 8.7% compared to last year.,financial
announced an operating margin of 13.1% for the fiscal year.,financial
opened a new research hub dedicated to neuromorphic engineering.,innovation
partnered with leading automakers to integrate its autonomous driving stack.,product
achieved a 14.4% market share in the global edge‑computing segment.,market
introduced its flagship smartphone 'Aurora' featuring a 14‑core neural engine.,product
committed to reaching net‑zero carbon emissions by 2032.,csr
partnered with leading automakers to integrate its autonomous driving stack.,product
introduced its flagship smartphone 'Aurora' featuring a 6‑core neural engine.,product
partnered with leading automakers to integrate its autonomous driving stack.,product
